school_code,udise_code,hss_code,vhse_code,name,type,level,established_year,address,pin_code,district,sub_district,education_district,assembly_constituency,parliament_constituency,latitude,longitude,is_coastal_area,is_hilly_area,principal_name,head_master_name,description,source_url,hse_start_year
27032,32080701310.0,7097.0,,St. John`s H S SKavalangad,Aided,5 - 12,1937.0,NELLIMATTOM,686693,Ernakulam,Kothamangalam,Kothamangalam,Kothamangalam,Idukki,,,False,False,Beena Paul,SOJI PHILIP,"St. John`s H S SKavalangad is a Aided educational institution established in 1937. Situated in the district of Ernakulam, it offers classes for levels 5 - 12. The campus spans across 2Acre31cent and features 29 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground and a Multi Media Room.",https://sametham.kite.kerala.gov.in/27032,2000.0
13338,32020100710.0,,,Ganapathivilsam L.P.School,Aided,1 - 5,1929.0,Chovva,670006,Kannur,Kannur North,Kannur,Kannur,Kannur,11.864538,75.40268899999998,True,True,,BINDU KRISHNAN,"Ganapathivilsam L.P.School is a Aided educational institution established in 1929. Situated in the district of Kannur, it offers classes for levels 1 - 5. The campus spans across 3.5 cent and features 5 classrooms.",https://sametham.kite.kerala.gov.in/13338,
11358,32010200406.0,,,A. U. P. S.Pallathadka,Aided,1 - 7,1941.0,Pallathadka,671551,Kasaragod,Kumbla,Kasaragod,Kasaragod,Kasaragod,12.614542,75.08085599999998,True,True,,MALLIKA P V,"A. U. P. S.Pallathadka is a Aided educational institution established in 1941. Situated in the district of Kasaragod, it offers classes for levels 1 - 7. The campus spans across 2.62 and features 16 classrooms. Students have access to excellent facilities including a Computer Lab and a Playground.",https://sametham.kite.kerala.gov.in/11358,
17421,32040501605.0,,,Edakkad Union A. L.P. S.,Aided,1 - 4,1936.0,Edakkad,673005,Kozhikode,Chevayur,Kozhikode,Kozhikode North,Kozhikode,11.307044,75.773272,True,True,,DEEPA,"Edakkad Union A. L.P. S. is a Aided educational institution established in 1936. Situated in the district of Kozhikode, it offers classes for levels 1 - 4. The campus spans across 45 cent and features 8 classrooms. Students have access to excellent facilities including a Computer Lab.",https://sametham.kite.kerala.gov.in/17421,
35231,32110100110.0,,,G U P S PoonthoppilBhagom,Government,1 - 7,1938.0,Asramam,688006,Alappuzha,Alappuzha,Alappuzha,Alappuzha,Alappuzha,,,True,True,,TREESA J NETTO,"G U P S PoonthoppilBhagom is a Government educational institution established in 1938. Situated in the district of Alappuzha, it offers classes for levels 1 - 7. The campus spans across 44.5cent and features 11 classrooms. Students have access to excellent facilities including a Computer Lab and a Science Lab.",https://sametham.kite.kerala.gov.in/35231,
13190,32020200405.0,,,KADAMBORE DEVIVILASAM L P S,Aided,1 - 5,1929.0,kadambur,670663,Kannur,Kannur South,Kannur,Dharmadam,Kannur,11.815936,75.44137399999998,True,True,,JAYASREE T,"KADAMBORE DEVIVILASAM L P S is a Aided educational institution established in 1929. Situated in the district of Kannur, it offers classes for levels 1 - 5. The campus spans across .075 and features 5 classrooms. Students have access to excellent facilities including a Computer Lab and a Science Lab.",https://sametham.kite.kerala.gov.in/13190,
37634,32120701602.0,,,Muhammadens L. P. S.Vaipur,Aided,1 - 4,1925.0,Vaipur,689588,Pathanamthitta,Mallappally,Tiruvalla,Ranni,Pathanamthitta *,9.448622,76.70133199999998,True,True,,BEENA JOHN,"Muhammadens L. P. S.Vaipur is a Aided educational institution established in 1925. Situated in the district of Pathanamthitta, it offers classes for levels 1 - 4. The campus spans across 0.25 acre and features 9 classrooms. Students have access to excellent facilities including a Computer Lab, a Multi Media Room and an Auditorium.",https://sametham.kite.kerala.gov.in/37634,
23083,32070204401.0,8152.0,,M R S CHALAKUDY,Government,5 - 12,1998.0,NAYARANGADY,680721,Thrissur,Chalakudy,Irinjalakuda,Chalakudy,Chalakudy *,,,False,False,Leena T A,Benny K B,"M R S CHALAKUDY is a Government educational institution established in 1998. Situated in the district of Thrissur, it offers classes for levels 5 - 12. The campus spans across 10 acre and features 8 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Multi Media Room and an Auditorium.",https://sametham.kite.kerala.gov.in/23083,2008.0
31039,32100300608.0,5079.0,,St Mary`s H S SKidangoor,Aided,5 - 12,1908.0,Kidangoor,686572,Kottayam,Ettumanoor,Pala,Kaduthuruthy,Kottayam,9.684754000000002,76.611346,False,False,ABRAHAM P.J,Jaya Thomas,"St Mary`s H S SKidangoor is a Aided educational institution established in 1908. Situated in the district of Kottayam, it offers classes for levels 5 - 12. The campus spans across 4.37 acre and features 24 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground and an Auditorium.",https://sametham.kite.kerala.gov.in/31039,2000.0
26207,32080300702.0,,,Govt. L.P.S. Vennala,Government,1 - 4,1904.0,vennala,682028,Ernakulam,Ernakulam,Ernakulam,Thrikkakara,Ernakulam,9.996144,76.325799,True,True,,Bindu K V,"Govt. L.P.S. Vennala is a Government educational institution established in 1904. Situated in the district of Ernakulam, it offers classes for levels 1 - 4. The campus spans across 50cents and features 12 classrooms. Students have access to excellent facilities including a Computer Lab.",https://sametham.kite.kerala.gov.in/26207,
