school_code,position_title,sanctioned_posts
11039,High School Assistant Mathematics,1
11039,High School Assistant Physical Science(HG),1
11039,High School Assistant Physical Science(Snr. Gr),1
11039,High School Assistant Sanskrit(HG),1
11039,Office Attendant,1
11039,UP School Assistant,5
11039,UP School Assistant (Sel Gr),1
11040,Clerk,1
11040,Headmaster/Headmistress (High School),1
11040,High School Assistant (HG),1
11040,High School Assistant English (Snr Gr),1
11040,High School Assistant Mathematics (Snr Gr),1
11040,High School Assistant Natural Science (Snr Gr),1
11040,Teacher (U P School) Gr II,2
11041,Headmaster/Headmistress(promotion 18740-31360),1
11041,High School Assistant,1
11041,High School Assistant Hindi,1
11041,High School Assistant Natural Science,1
11041,L P School Assistant,5
11041,L P School Assistant (Snr Gr),1
11041,Office Attendant (15 Yrs HG),1
11041,Office Attendant Gr II,1
11041,P D Teacher (Senior Grade),2
11041,Teacher (L P School) Gr II,3
11041,UP School Assistant,7
11042,High School Assistant,1
11042,High School Assistant Arabic,1
11042,High School Assistant Malayalam,1
11042,High School Assistant Social Science,1
11042,High School Assistant Social Science (Snr Grade),1
11042,L P School Assistant (HG),1
11042,Office Attendant,1
11042,Office Attendant Gr II,3
11042,P D Teacher (Senior Grade),2
11042,Primary Teacher (Arabic) (Part Time with Full Time Benefit),1
11042,Teacher (L P School)(Snr Gr),1
11043,Drawing Teacher Gr II,1
11043,FTM  1st HG,1
11043,Headmaster/Headmistress,1
11043,High School Assistant  (Sel. Gr),1
11043,High School Assistant English (Snr Gr),1
11043,High School Assistant Malayalam,1
11043,High School Assistant Mathematics (Snr Gr),1
11043,High School Assistant Natural Science (HG),1
11043,High School Assistant Physical Science(Sel Gr),1
11043,Office Attendant,2
11043,Office Attendant Gr II,1
11044,Clerk,3
11044,FTM,3
11044,High School Assistant,1
11044,High School Assistant English,1
11044,High School Assistant Hindi,3
11044,High School Assistant Mathematics,2
11044,High School Assistant Physical Science,3
11044,L P School Assistant,8
11044,Office Attendant,1
11044,P D Teacher (HG),1
11044,Physical Education Teacher,1
11044,Teacher (U P School) Gr II,1
11044,UP School Assistant,10
11045,Headmaster/Headmistress(20740-36140),1
11045,High School Assistant (Sr Gr),1
11045,High School Assistant Arabic,1
11045,High School Assistant English,1
11045,High School Assistant Mathematics,1
11045,Junior Hindi Teacher Gr II,1
11045,L P School Assistant (HG),1
11045,L P School Assistant HG,2
11045,Office Attendant Gr II,2
11045,Teacher (LP/UP) - Arabic (Grade II),1
11045,Teacher (U P School) Gr II,3
11046,Clerk,2
11046,Headmaster/Headmistress (High School),1
11046,High School Assistant (HG),1
11046,High School Assistant English (Snr Gr),1
11046,High School Assistant Malayalam,1
11046,High School Assistant Mathematics,2
11046,High School Assistant Mathematics (8 Yrs HG),1
11046,High School Assistant Physical Science (HG),1
11046,High School Assistant Physical Science(HG),1
11046,High School Assistant Sanskrit,1
11046,High School Assistant Social Science,2
11046,Office Attendant,1
11046,P D Teacher (Senior Grade),1
11046,Physical Education Teacher,1
11047,FTM,1
11047,High School Assistant (Urdu) (Part Time with Full Time Benefit) HG,1
11047,High School Assistant Arabic (Sel. Gr),1
11047,High School Assistant English (Snr Gr),2
11047,High School Assistant English(Sel Gr),2
11047,High School Assistant Malayalam,1
11047,High School Assistant Malayalam(Snr Gr),2
11047,High School Assistant Mathematics (Sel Gr),3
11047,High School Assistant Mathematics (Snr Gr),1
11047,High School Assistant Natural Science (Sel Gr),1
11047,High School Assistant Physical Science(HG),1
11047,High School Assistant Physical Science(Sel. Gr),1
11047,High School Assistant Physical Science(Snr. Gr),1
11047,High School Assistant Social Science(Sel Gr),1
11047,Office Attendant Gr II (22 Years HG),1
11047,Sewing Teacher (Sel Gr),1
11048,Drawing Teacher Snr Gr,1
11048,FTM,1
11048,Headmistress HG,1
11048,High School Assistant (Snr Gr),1
11048,High School Assistant Physical Science(HG),1
11048,High School Assistant Sanskrit,1
11048,LD Clerk (15 Yrs Not Qualified),1
11048,Office Attendant Gr I (15 Yrs HG),1
11048,UP School Assistant,2
11048,UP School Assistant (Snr Gr),2
11049,Clerk,1
11049,FTM,2
11049,High School Assistant Hindi,1
11049,High School Assistant Hindi(Snr. Gr),1
11049,High School Assistant Mathematics,3
11049,High School Assistant Physical Science,2
11049,High School Assistant Social Science,2
11049,Physical Education Teacher,1
11049,Teacher (LP/UP) - Arabic (Grade II),3
11049,Teacher (LP/UP) - Hindi (Grade I),1
11050,Clerk,2
11050,Drawing Teacher Gr II (8 Yrs HG),1
11050,Headmaster/Headmistress (High School),1
11050,High School Assistant (Snr Gr),1
11050,High School Assistant Hindi,2
11050,High School Assistant Hindi(Snr. Gr),1
11050,High School Assistant Malayalam,2
11050,High School Assistant Natural Science (Sel Gr),1
11050,High School Assistant Physical Science(Snr. Gr),1
11050,High School Assistant Social Science,2
11050,Office Attendant,1
11050,P D Teacher (Senior Grade),1
11050,Physical Education Teacher,1
11051,FTM  1st HG,1
11051,Headmaster HG(Secondary School),1
11051,High School Assistant,1
11051,High School Assistant English(HG),1
11051,High School Assistant Hindi(Snr. Gr),1
11051,High School Assistant Mathematics,1
11051,High School Assistant Mathematics (HG),1
11051,High School Assistant Natural Science,1
11051,High School Assistant Physical Science(Snr. Gr),2
11051,High School Assistant Social Science,1
11051,LD Clerk HG,1
11051,Office Attendant Gr II,1
11052,FTM,1
11052,High School Assistant Hindi,1
11052,High School Assistant Mathematics,1
11052,High School Assistant Physical Science,1
11052,L P School Assistant,4
11052,P D Teacher (Senior Grade),2
11052,Teacher (U P School) Gr II,2
11052,UP School Assistant,1
11053,Clerk (27 Yrs TBHG - T),1
11053,FTM,1
11053,FTM  1st HG,1
11053,High School Assistant Arabic (Sel. Gr),1
11053,High School Assistant English (Snr Gr),4
11053,High School Assistant English(HG),1
11053,High School Assistant Hindi(Sel. Gr),1
11053,High School Assistant Malayalam,1
11053,High School Assistant Mathematics (Sel Gr),6
11053,High School Assistant Mathematics (Snr Gr),1
11053,High School Assistant Natural Science,2
11053,High School Assistant Natural Science (Sel Gr),1
11053,High School Assistant Physical Science,1
11053,High School Assistant Social Science(Sel Gr),3
11053,Office Attendant,1
11053,Physical Education Teacher (8 Years HG),1
11053,Teacher (LP/UP) - Sanskrit (Grade II),1
11054,Headmaster(Senior Grade)(20740-36140),1
11054,Headmaster/Headmistress (High School),1
11054,High School Assistant,6
11054,High School Assistant (HG),3
11054,High School Assistant Hindi,1
11054,High School Assistant Hindi(HG),1
11054,High School Assistant Malayalam,2
11054,High School Assistant Mathematics,2
11054,L P School Assistant,18
11054,L P School Assistant (HG),2
11054,L P School Assistant(Before 11/04/2013),1
11054,Office Attendant HG,1
11054,Physical Education Teacher,1
11054,Senior Clerk,1
11054,Sewing Teacher,1
11055,Clerk,1
11055,FTM,1
11055,High School Assistant Malayalam,2
11055,High School Assistant Natural Science,1
11055,High School Assistant Social Science (Snr Grade),1
11055,Junior Hindi Teacher Gr II,1
11055,Physical Education Teacher,1
11055,Teacher (LP/UP) - Hindi (Grade II),1
11056,Headmaster/Headmistress (High School),1
11056,High School Assistant Malayalam,2
11056,High School Assistant Natural Science,1
11056,Music Teacher,1
11056,UP School Assistant,1
11067,High School Assistant,1
11067,High School Assistant (HG),1
11067,High School Assistant Mathematics,1
11067,High School Assistant Physical Science,1
11067,High School Assistant Social Science,1
11067,Junior Arabic Teacher Gr II,1
11067,L P School Assistant HG,1
11067,LD Clerk (15 Yrs HG) (26500 - 56700),1
11067,Office Attendant Gr II,2
11067,P D Teacher (Selection Grade),1
11067,Teacher (U P School) Gr I,1
11068,Assistant Educational Officer,1
11068,Clerk,2
11068,FTM,1
11068,High School Assistant,2
11068,L P School Assistant,2
11068,Office Attendant,1
11068,UP School Assistant,1
11069,FTM,3
11069,High School Assistant,1
11069,High School Assistant English,1
11069,High School Assistant Hindi,1
11069,High School Assistant Mathematics,1
11069,High School Assistant Physical Science (HG),2
11069,High School Assistant Physical Science(HG),1
11069,L P School Assistant,5
11069,L P School Assistant (HG),3
11069,LPSA(13210),1
11069,Office Attendant,1
11069,P D Teacher (Selection Grade),4
11069,Physical Education Teacher,1
11069,Primary Teacher (Arabic) (Part Time with Full Time Benefit),1
11070,Clerk,1
11070,FTM,1
11070,High School Assistant English,1
11070,High School Assistant Hindi,2
11070,High School Assistant Malayalam,2
11070,High School Assistant Natural Science,1
11070,High School Assistant Social Science,3
11070,Teacher (L P School) Gr II,1
11070,UP School Assistant,2
11071,Headmaster/Headmistress HG (High School),1
11071,High School Assistant,4
11071,High School Assistant (HG),1
11071,High School Assistant Physical Science,1
11071,Junior Hindi Teacher Gr I,1
11071,Office Attendant Gr II,1
11071,Senior Clerk (15 yrs HG),1
11071,UP School Assistant,2
11072,Clerk,2
11072,Headmaster/Headmistress (High School),1
11072,High School Assistant Malayalam,1
11072,High School Assistant Mathematics,1
11072,High School Assistant Social Science,1
11072,Teacher (LP/UP) - Hindi (Grade II),1
11072,UP School Assistant,6
11072,UP School Assistant (HG),1
11073,Clerk,2
11073,FTM,2
11073,Headmaster/Headmistress (High School),1
11073,High School Assistant Mathematics,1
11073,High School Assistant Social Science,1
11073,Office Attendant,1
11073,Office Attendant (8 Yrs HG),1
11074,High School Assistant Hindi,2
11074,High School Assistant Mathematics,2
11074,High School Assistant Physical Science(HG),1
11074,High School Assistant Social Science,1
